node1,node2,start,end
14,9,0,11
14,1,0,11
14,29,0,625
14,34,0,625
14,25,0,625
14,8,0,625
14,5,4,11
8,14,76,76
8,18,76,76
8,9,76,81
8,1,76,86
8,5,76,86
8,34,76,671
8,29,76,701
8,17,81,86
8,22,81,706
8,4,81,706
8,0,86,711
9,22,216,216
9,12,216,216
9,17,216,216
9,25,216,806
9,19,216,841
9,34,216,841
9,29,219,844
9,4,219,844
9,18,219,844
9,1,221,221
9,8,221,846
9,5,221,846
29,19,288,288
29,27,288,288
29,18,288,288
29,1,288,288
29,14,288,293
29,25,288,296
29,8,293,293
29,17,293,293
29,32,293,881
29,9,293,881
29,0,296,921
29,34,296,881
29,22,296,921
29,4,296,921
5,1,329,329
5,18,329,329
5,9,329,329
5,19,329,334
5,29,329,919
5,34,329,954
5,22,329,954
5,14,329,954
5,17,331,331
5,12,331,331
5,8,331,956
5,4,331,956
5,25,331,956
5,0,331,956
0,2,396,396
0,22,396,396
0,17,396,402
0,14,396,987
0,4,396,1021
0,34,396,1021
0,3,398,398
0,8,398,398
0,1,398,398
0,32,398,1023
0,18,398,987
0,29,398,881
0,5,398,2701
0,25,398,1023
0,12,402,2701
1,9,453,453
1,18,453,453
1,32,453,456
1,5,453,456
1,29,453,461
1,0,453,461
1,22,456,456
1,34,456,456
1,3,456,461
1,12,461,461
1,4,461,461
1,17,461,1086
25,3,547,547
25,19,547,547
25,16,547,552
25,17,547,552
25,12,547,552
25,6,547,552
25,18,549,549
25,4,549,1174
25,14,552,1137
25,32,552,1137
17,16,582,1207
17,1,582,2895
14,16,596,596
14,6,596,596
14,12,596,596
14,18,596,596
14,32,596,1221
17,6,596,1221
4,0,634,634
4,29,634,634
4,19,634,634
4,32,634,640
4,8,634,647
4,5,634,2090
4,25,634,1726
4,9,640,640
4,14,640,1265
4,18,640,1265
22,5,646,646
22,8,646,646
22,32,646,651
22,9,646,654
22,18,646,654
22,3,646,1828
22,14,646,1271
4,3,647,647
22,0,651,651
22,25,651,1276
22,29,651,2953
22,19,651,1276
8,25,671,671
8,18,671,1296
8,14,671,3499
8,32,671,1296
18,12,677,677
18,14,677,682
18,5,677,682
18,4,677,1273
18,22,677,1273
18,9,677,2987
18,8,677,1260
18,32,677,1302
18,16,682,688
18,19,682,688
18,25,682,1307
18,29,688,688
9,32,806,1431
9,14,806,1431
9,22,806,1431
19,22,854,854
19,3,854,865
19,32,854,1479
19,9,854,1977
19,18,854,3717
19,4,854,1479
19,34,854,1479
19,14,854,1479
19,8,859,859
19,29,859,859
19,5,859,2039
19,25,865,3164
29,19,881,881
29,3,881,1506
32,19,902,902
32,4,902,1497
32,29,902,1527
32,9,902,1395
32,18,902,2668
32,5,902,1527
32,22,902,1527
32,8,907,912
32,0,907,987
32,3,907,1532
32,34,907,1532
5,32,919,4306
12,32,930,930
12,16,930,944
12,6,930,944
12,4,937,1562
12,22,937,1562
12,18,937,1562
12,17,944,944
30,32,953,953
30,24,953,953
30,16,953,959
30,5,953,959
30,4,953,964
30,13,953,1549
30,12,953,1549
30,18,959,1549
30,17,959,1549
30,9,964,964
30,25,964,964
30,8,964,1549
0,19,987,1612
3,25,997,997
3,19,997,1003
3,18,997,1010
3,32,997,1595
3,34,997,2184
3,9,997,2184
3,14,1003,1010
3,29,1003,1595
6,16,1076,1083
6,12,1076,1090
6,17,1083,1090
16,12,1109,1116
16,8,1116,1116
16,6,1123,1123
16,17,1123,1123
16,18,1123,1748
25,22,1137,1137
25,29,1137,1137
25,5,1137,1726
25,8,1137,1762
25,34,1137,1762
14,4,1185,1232
14,19,1185,6518
34,19,1200,1200
34,5,1200,1789
34,8,1200,1789
34,9,1200,2914
34,32,1200,2914
34,14,1200,1767
34,22,1200,1825
4,0,1232,1232
4,29,1232,2403
4,34,1232,1857
4,19,1232,5384
22,4,1239,1239
22,34,1239,3467
22,5,1239,2633
8,9,1260,2385
8,12,1260,1885
18,12,1273,3540
19,12,1450,1450
29,5,1470,1470
29,18,1470,2095
29,14,1470,3148
5,12,1508,3747
12,19,1529,1529
12,25,1529,2154
12,34,1529,2154
12,9,1529,2154
30,23,1549,1549
0,9,1576,1576
0,22,1576,2201
0,3,1576,2201
3,5,1595,1595
16,2,1708,1708
25,0,1726,2308
25,9,1726,2308
25,18,1726,2987
14,0,1767,1767
14,5,1767,3977
17,21,1770,2395
34,0,1789,1789
34,18,1789,1789
34,4,1789,2946
4,9,1821,1977
4,32,1821,2446
22,8,1828,2453
22,0,1828,4374
8,3,1842,1842
8,19,1842,1842
8,5,1842,2090
18,2,1862,1862
18,3,1862,3540
18,5,1862,2487
9,12,1977,3634
21,1,2006,2013
21,16,2006,2020
21,17,2006,2895
19,22,2039,4278
29,25,2052,3709
32,6,2086,2086
32,12,2086,2711
5,9,2090,4300
5,18,2090,4654
12,8,2118,3243
12,32,2118,3243
12,14,2118,2743
2,18,2239,2239
2,8,2246,3420
6,4,2264,2264
16,29,2297,2297
16,19,2297,2297
16,14,2297,2922
16,4,2297,2922
16,25,2297,3422
16,22,2297,2922
25,6,2308,2308
25,12,2308,3243
25,3,2308,2933
14,22,2310,2310
14,12,2310,3243
14,16,2310,2879
14,9,2310,2520
34,25,2371,3467
8,22,2385,2410
8,25,2385,2851
4,8,2403,3499
22,18,2410,2410
22,12,2410,2410
22,32,2410,3506
22,16,2410,3506
18,16,2444,3540
18,29,2444,2595
9,25,2520,4743
29,32,2595,2595
29,0,2595,3709
19,16,2621,3164
19,3,2621,3246
5,3,2633,3258
32,8,2668,2668
32,19,2668,3293
12,3,2700,2700
30,7,2720,3263
1,21,2760,3385
3,9,2785,2785
3,4,2785,2785
3,12,2785,2785
3,22,2785,2785
3,34,2785,2789
3,25,2785,2794
3,5,2785,2794
3,0,2785,5482
3,32,2789,2789
3,29,2789,2794
3,19,2789,2794
3,16,2794,2794
3,14,2794,3379
25,32,2851,3476
25,14,2851,3424
16,8,2879,2879
16,9,2879,2879
16,34,2879,3504
16,32,2879,3422
16,5,2879,3504
34,16,2914,2914
34,19,2914,3467
8,16,2938,3563
4,12,2946,3243
4,16,2946,3422
4,14,2946,3571
18,22,2987,2987
18,34,2987,3540
18,4,2987,3612
9,32,3073,3073
29,34,3148,3709
19,12,3164,3164
5,16,3186,3186
21,1,3194,3194
32,4,3211,3211
32,25,3211,3764
32,14,3211,5432
0,16,3254,3254
0,18,3254,3254
0,9,3254,3879
3,22,3379,3379
3,23,3379,3379
3,4,3379,4004
6,17,3389,3389
6,2,3389,5056
25,22,3404,4029
2,18,3420,3420
14,3,3424,3979
14,34,3424,4049
17,2,3448,3448
17,8,3448,3448
17,6,3448,4562
34,12,3467,3467
34,0,3467,3467
34,8,3467,3467
34,3,3467,4092
4,0,3499,3815
8,18,3499,3499
8,19,3499,3499
22,9,3506,3506
22,25,3506,3965
9,0,3634,3634
9,16,3634,3634
9,4,3634,4259
29,5,3709,3709
29,16,3709,3709
19,32,3717,4325
19,0,3717,6060
5,34,3747,4372
5,4,3747,4372
32,6,3764,3764
12,19,3796,3796
12,5,3796,3796
12,6,3796,3796
12,16,3796,4421
0,32,3815,3815
1,23,3874,3874
1,8,3874,3874
6,32,3942,3942
6,35,3942,4567
25,5,3965,3965
25,29,3965,3965
3,9,3968,3968
3,18,3968,3968
3,1,3968,4593
3,34,3968,5698
16,33,3975,3975
16,17,3975,3975
16,23,3975,5089
14,0,3977,3977
14,4,3977,4060
2,35,4002,4627
17,33,4009,4009
17,23,4009,4009
17,4,4009,4009
17,0,4009,4009
17,18,4009,4009
17,22,4009,4634
4,3,4060,5646
22,17,4067,4067
22,4,4067,4067
22,1,4067,4692
18,19,4101,4101
18,17,4101,4101
18,1,4101,4658
18,14,4101,4726
9,17,4187,4187
9,3,4187,4187
9,14,4187,4187
9,1,4192,5300
9,19,4192,4817
19,23,4278,4278
19,9,4278,4278
5,19,4300,4306
5,23,4300,4306
5,17,4300,4925
